VideoId,Title,Link,HighestResolutionVideoUrl
NOW-37440,Delta Goodrem’s fairytale wedding! Could the singer say ‘I do’ in a special television event?,/celebrity/celeb-news/delta-goodrem-matthew-copley-tv-wedding-37440,http://now-site-au.sit.bxm.net.au/preview/amp/celebrity/celeb-news/delta-goodrem-matthew-copley-tv-wedding-37440
NOW-37441,Abbie Chatfield and Jack Vidgen walk into a jungle... Here's a roundup of every celeb (and all the rumoured ones!) starring on I'm A Celeb 2021,/reality-tv/im-a-celebrity-get-me-out-of-here/im-a-celebrity-get-me-out-of-here-australia-contestants-2021-37441,http://now-site-au.sit.bxm.net.au/preview/amp/reality-tv/im-a-celebrity-get-me-out-of-here/im-a-celebrity-get-me-out-of-here-australia-contestants-2021-37441
NOW-37442,Bump stars Nathalie Morris & Carlos Sanson Jr spill on the heart-warming drama that’s sure to be your new obsession,/celebrity/tv/bump-nathalie-morris-carlos-sanson-jr-37442,http://now-site-au.sit.bxm.net.au/preview/amp/celebrity/tv/bump-nathalie-morris-carlos-sanson-jr-37442
NOW-37446,Ringing in the New Year as a Mrs! Samantha Armytage marries Richard Lavender in an intimate ceremony on the Southern Highlands,/celebrity/celeb-news/samantha-armytage-marries-richard-lavender-37446,http://now-site-au.sit.bxm.net.au/preview/amp/celebrity/celeb-news/samantha-armytage-marries-richard-lavender-37446
NOW-37448,"""I'm emotionally invested in them all"": I'm A Celeb premiered on TV last night, and Australia has a lot to say about the new cast",/reality-tv/im-a-celebrity-get-me-out-of-here/im-a-celebrity-get-me-out-of-here-reactions-2021-37448,http://now-site-au.sit.bxm.net.au/preview/amp/reality-tv/im-a-celebrity-get-me-out-of-here/im-a-celebrity-get-me-out-of-here-reactions-2021-37448
NOW-37450,"Unseen photos and a stirring message to the public: 5 things to know about Prince Harry and Duchess Meghan's revamped website, Archewell",/royals/british-royal-family/prince-harry-meghan-markle-website-archewell-37450,http://now-site-au.sit.bxm.net.au/preview/amp/royals/british-royal-family/prince-harry-meghan-markle-website-archewell-37450
NOW-37452,Jasmine Stefanovic shares eight-month-old Harper’s huge new milestone in an adorable new video,/parenting/celebrity-families/karl-jasmine-stefanovic-harper-crawling-37452,http://now-site-au.sit.bxm.net.au/preview/amp/parenting/celebrity-families/karl-jasmine-stefanovic-harper-crawling-37452
NOW-37456,CONFIRMED: Stan's charming new series Bump will return for a second season… as Claudia Karvan reveals what to expect from the next instalment,/celebrity/tv/bump-stan-season-two-37456,http://now-site-au.sit.bxm.net.au/preview/amp/celebrity/tv/bump-stan-season-two-37456
NOW-37457,"Married at first, split at second: In devastating news for reality TV land, Lizzie Sobinoff and Seb Guilhaus have split up",/reality-tv/married-at-first-sight/lizzie-sobinoff-seb-guilhaus-break-up-37457,http://now-site-au.sit.bxm.net.au/preview/amp/reality-tv/married-at-first-sight/lizzie-sobinoff-seb-guilhaus-break-up-37457
NOW-37458,Studio 10’s Tristan MacManus reveals he suffered two deadly heart attacks before turning 36,/celebrity/tv/tristan-macmanus-heart-attack-37458,http://now-site-au.sit.bxm.net.au/preview/amp/celebrity/tv/tristan-macmanus-heart-attack-37458
